Pop,Tissue,Leaf_Totphe,Leaf_pH_10,Flower_Totphe,Flower_pH_10,Fruit_Totphe,Fruit_pH_10
786,Leaf,81.87196911,17.56754498,45.59153741,10.2343982,131.1090698,33.0485093
787,Leaf,81.33692144,16.02676439,53.08930564,14.1406873,143.0268383,36.8962908
788,Leaf,90.90431835,24.1767329,88.4056341,23.65418807,157.7216877,43.9755061
789,Leaf,79.60454336,20.5919813,90.84390759,24.92511773,127.4612263,40.5186153
790,Leaf,96.58128519,26.41164344,37.39441626,9.648685349,95.52444105,30.8140916
791,Leaf,82.19172681,23.85651932,40.07337811,12.34881346,97.12351326,26.31070447
792,Leaf,80.38541738,18.49170509,47.67653767,10.9570881,104.1549432,22.88803762
798,,,,,,62.34586557,18.47202565
,Leaf,80.36092591,17.59228465,,,,
806,,,,57.83542125,13.69192037,164.0350645,59.13641802
824,,,,103.8342086,20.83019674,162.6523669,37.51415533
825,,,,88.61029687,19.8370568,160.8204035,44.3211504
831,Leaf,120.0118323,26.00026214,88.75900117,22.19810242,140.9369205,40.30409138
837,Leaf,79.7116337,18.29349832,67.82745547,15.22822578,,
851,Leaf,86.57611859,27.74570178,67.49228952,19.23317592,69.35651147,11.90317823
864,Leaf,74.61604136,23.0141868,,,101.7418019,36.38783236
877,Leaf,95.81707175,32.0986233,48.51224051,13.36722702,103.7576927,29.74107908
880,Leaf,83.19999856,20.82272117,68.48736079,16.10541511,83.94195289,20.79712522
888,Leaf,94.5931568,31.18775231,52.43164753,14.21225091,84.9581633,23.16975314
890,Leaf,69.91174383,19.00391533,37.66392476,8.240926713,84.83888457,22.44208183
891,Leaf,94.92543509,23.80288916,98.08368493,23.28797013,122.3502426,34.39890262
892,Leaf,119.4770449,32.56503335,91.96467551,26.02987351,131.2852802,39.53210986
893,Leaf,102.20799,25.72052145,89.83347911,29.51379379,119.2702031,34.26419129
908,Leaf,81.69998241,17.49192913,56.10545744,14.26298397,112.2629292,34.23031938
914,Leaf,101.5408188,29.42407323,39.86352017,11.72212825,109.7164215,29.56559093
915,Leaf,81.2370573,20.19210876,69.59937614,18.69927318,89.46943476,22.93049002
